trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'e': 0.4151979020538666, 'a': 0.1}",25,14,1.2126104041172485,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
43,False,"{'e': 0.4106557527523455, 'a': 0.1}",25,3,9.679766652408446,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 0}",1
44,False,"{'e': 0.401719980097586, 'a': 0.1}",20,4,-63.18248664678374,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 1}",1
45,False,"{'e': 0.3953436074260998, 'a': 0.1}",25,7,-37.03135055331054,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
46,False,"{'e': 0.38829108560587294, 'a': 0.1}",20,11,16.163693971611767,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'e': 0.3848121445529785, 'a': 0.1}",25,10,-50.63713182279979,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1
48,False,"{'e': 0.37908303810339883, 'a': 0.1}",25,5,-0.48399931733767687,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
49,False,"{'e': 0.3715766910220457, 'a': 0.1}",25,15,14.923534474266342,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'e': 0.36787944117144233, 'a': 0.1}",25,3,-26.85194731980172,"{0: 19, 1: 2, 2: 0, 3: 0, 4: 1}",1
51,False,"{'e': 0.35987447100205955, 'a': 0.1}",35,0,-60.38994373729653,"{0: 31, 1: 0, 2: 2, 3: 0, 4: 2}",0
52,False,"{'e': 0.34749673837241524, 'a': 0.1}",20,0,12.632012436770745,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
53,False,"{'e': 0.3406158419310661, 'a': 0.1}",20,14,9.799877054143167,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'e': 0.3385782657208353, 'a': 0.1}",20,0,-8.693994104729695,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
55,False,"{'e': 0.3318739668700649, 'a': 0.1}",20,13,-31.01060503446015,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
56,False,"{'e': 0.32955896107518906, 'a': 0.1}",30,0,-67.90245962151882,"{0: 22, 1: 4, 2: 2, 3: 1, 4: 1}",0
57,False,"{'e': 0.31981902181630384, 'a': 0.1}",25,5,-23.09941560125285,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",1
58,False,"{'e': 0.3134861808826053, 'a': 0.1}",20,11,-5.491288000579361,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
59,False,"{'e': 0.3106774634419619, 'a': 0.1}",20,10,-27.464832222485047,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 0}",1
60,False,"{'e': 0.3075861710303276, 'a': 0.1}",20,0,-55.175722964467425,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
61,False,"{'e': 0.3014955567714318, 'a': 0.1}",25,13,9.943176545605885,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
62,False,"{'e': 0.2978992311994101, 'a': 0.1}",30,18,-24.18653956686163,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
63,False,"{'e': 0.29434580363145335, 'a': 0.1}",20,6,12.864259881607468,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
64,False,"{'e': 0.2902536741250547, 'a': 0.1}",25,10,-58.3478304002052,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 2}",1
65,False,"{'e': 0.285932359894248, 'a': 0.1}",20,8,-22.526288435952328,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
66,False,"{'e': 0.2825216766033636, 'a': 0.1}",20,0,6.137473871940121,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
67,False,"{'e': 0.2769273725870171, 'a': 0.1}",20,8,21.552427305252465,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'e': 0.27362410337040804, 'a': 0.1}",20,11,2.6827493190178884,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
69,False,"{'e': 0.2711725350455999, 'a': 0.1}",20,14,9.145287379775102,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'e': 0.2695503711933716, 'a': 0.1}",35,11,-97.19549711063165,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 2}",1
71,False,"{'e': 0.2631581754560287, 'a': 0.1}",35,7,44.63164427534723,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'e': 0.25589194844208374, 'a': 0.1}",30,10,8.589605339600919,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
73,False,"{'e': 0.2508249483728111, 'a': 0.1}",25,17,12.402905387485074,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'e': 0.24882635382318666, 'a': 0.1}",20,0,26.174133443502527,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
75,False,"{'e': 0.24389926190124483, 'a': 0.1}",35,18,-56.859553481764905,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 2}",1
76,False,"{'e': 0.2397880190253247, 'a': 0.1}",25,3,11.948340092765907,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
77,False,"{'e': 0.23457028809379765, 'a': 0.1}",20,0,-49.628290700005664,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
78,False,"{'e': 0.22992548518672384, 'a': 0.1}",25,13,18.334343121317428,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'e': 0.22718286797905665, 'a': 0.1}",35,27,16.032481699979694,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'e': 0.22537265553943872, 'a': 0.1}",20,8,19.642269355454303,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'e': 0.22268434579109508, 'a': 0.1}",25,11,-4.166759582604577,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
82,False,"{'e': 0.21958848653038082, 'a': 0.1}",30,14,7.34960278928045,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
83,False,"{'e': 0.21610302876413975, 'a': 0.1}",20,9,17.53305095746855,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'e': 0.2137389218736616, 'a': 0.1}",20,10,16.62334263521545,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'e': 0.2116121840667451, 'a': 0.1}",20,8,10.628912020134702,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
86,False,"{'e': 0.20908801317328293, 'a': 0.1}",30,14,-3.3318733446059863,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
87,False,"{'e': 0.20576922605990708, 'a': 0.1}",20,3,26.743597115894495,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'e': 0.2023007150930107, 'a': 0.1}",20,9,20.696261167271494,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'e': 0.20008760166634962, 'a': 0.1}",30,0,-91.25415116089862,"{0: 24, 1: 2, 2: 1, 3: 1, 4: 2}",1
90,False,"{'e': 0.19417411935554202, 'a': 0.1}",25,12,15.251396597264153,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
91,False,"{'e': 0.19166619264739126, 'a': 0.1}",25,0,-34.966423023451675,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
92,False,"{'e': 0.18693393748973264, 'a': 0.1}",20,16,9.600856830039877,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'e': 0.186187695219304, 'a': 0.1}",25,16,9.850163769128947,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
94,False,"{'e': 0.18451952399298926, 'a': 0.1}",30,20,14.119771821460176,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'e': 0.18268352405273466, 'a': 0.1}",25,1,6.189780016909037,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 0}",1
96,False,"{'e': 0.17835131394090015, 'a': 0.1}",20,7,-29.212180193648678,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
97,False,"{'e': 0.17604775245108517, 'a': 0.1}",20,5,3.5851645381617088,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
98,False,"{'e': 0.17342674287984836, 'a': 0.1}",30,19,19.52955997056257,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'e': 0.17152950265984698, 'a': 0.1}",25,16,15.354049714289108,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'e': 0.16999266328673912, 'a': 0.1}",25,15,6.814738096891689,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
101,False,"{'e': 0.16830120802561438, 'a': 0.1}",30,18,24.669057830305995,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'e': 0.16629366289060088, 'a': 0.1}",25,14,9.875638747260478,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
103,False,"{'e': 0.1644744565771549, 'a': 0.1}",30,13,31.466364623659487,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'e': 0.1617020232675885, 'a': 0.1}",20,5,-28.02028064945268,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
