trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'e': 0.44043165450599925, 'a': 0.2}",25,10,1.5926003979246666,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
43,False,"{'e': 0.4338744814329909, 'a': 0.2}",25,17,-8.290128448795775,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
44,False,"{'e': 0.43041733261490667, 'a': 0.2}",20,16,4.105258198966749,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'e': 0.42869910203657724, 'a': 0.2}",25,0,-19.148355510673323,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
46,False,"{'e': 0.41811448349391933, 'a': 0.2}",20,0,16.484963179203707,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
47,False,"{'e': 0.40983526201107895, 'a': 0.2}",20,15,7.925701732774984,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'e': 0.4077912001142262, 'a': 0.2}",20,2,5.783110540548271,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
49,False,"{'e': 0.4005166260908188, 'a': 0.2}",20,13,3.586930812998844,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
50,False,"{'e': 0.39772279950933415, 'a': 0.2}",20,13,-1.7095678509439864,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
51,False,"{'e': 0.39494846142460327, 'a': 0.2}",20,0,-69.66677520980315,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
52,False,"{'e': 0.38712795791294036, 'a': 0.2}",25,8,-60.37208511962971,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 2}",1
53,False,"{'e': 0.38060240696771647, 'a': 0.2}",25,0,-27.53741137724878,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
54,False,"{'e': 0.37120530005745517, 'a': 0.2}",20,6,11.580534778575855,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
55,False,"{'e': 0.36604463480401533, 'a': 0.2}",25,17,14.326950733775618,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'e': 0.3631279599804599, 'a': 0.2}",20,10,20.749310326166146,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'e': 0.35951477640832885, 'a': 0.2}",20,9,-2.654157493199914,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
58,False,"{'e': 0.35558178497828613, 'a': 0.2}",25,9,24.60951092758184,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'e': 0.3499377491111553, 'a': 0.2}",20,5,15.777066296197699,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
60,False,"{'e': 0.3447278547672202, 'a': 0.2}",20,8,-39.58368360402762,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
61,False,"{'e': 0.3406158419310661, 'a': 0.2}",25,0,-1.541815654485349,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
62,False,"{'e': 0.33220600682924445, 'a': 0.2}",25,15,1.6412937385539217,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
63,False,"{'e': 0.3289005018317685, 'a': 0.2}",20,6,7.54355717456505,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
